	Cummulative Return
0	0.19149255092682704
1	-0.014032962909924063
2	-0.11847569631757526
3	0.08275816590645935
4	0.5615008787025546
5	0.3032894778912252
6	0.685035958105898
7	0.5646779015535595
8	0.6567207908447197
9	0.8020113335583419
10	0.7915310000942706
11	0.6540725226456339
12	0.8387096106059242
13	0.79398861159539
14	0.8061931478281117
15	0.8603937474770489
16	0.8788005608952754
17	0.7011032974746503
18	0.8710834090727748
19	0.8943389855549191
20	0.8167019447962576
21	0.9096877329141757
22	0.8651051071574882
23	0.9123744319884608
24	0.9260173774398783
25	0.9565141661552627
26	0.9424997012837348
27	0.8446785777570895
28	0.9466915534260087
29	0.946405961852987
30	0.9576098605321812
31	0.9685660059208481
32	0.9535511454870236
33	0.9734631557984259
34	0.9892974080696442
35	1.0193080230626537
36	1.0056650375969367
37	1.0127724115301184
38	0.9660317479843685
39	1.0186030625907212
40	1.0110192993837823
41	1.0114956886575395
42	1.0151922514392377
43	1.02102290249984
44	0.990135747629926
45	1.0114956886575395
46	1.02102290249984
47	1.0236714946241987
48	1.0365332352167478
49	1.0365332352167478
50	1.0460604490590488
51	1.0460604490590488
52	1.0365332352167478
53	1.0460604490590488
54	1.031731597563382
55	1.0460604490590488
56	1.0460604490590488
57	1.0460604490590488
58	1.0365332352167478
59	1.0460604490590488
60	1.0365332352167478
61	1.0460604490590488
62	1.0460604490590488
63	1.0460604490590488
64	1.0460604490590488
65	1.031731597563382
66	1.0460604490590488
67	1.0460604490590488
68	1.0365332352167478
69	1.0460604490590488
70	1.0460604490590488
71	1.0460604490590488
72	1.0460604490590488
73	1.0460604490590488
74	1.0460604490590488
75	1.0460604490590488
76	1.0460604490590488
77	1.0460604490590488
78	1.0460604490590488
79	1.0460604490590488
80	1.0460604490590488
81	1.0460604490590488
82	1.0460604490590488
83	1.0460604490590488
84	1.0460604490590488
85	1.0460604490590488
86	1.0460604490590488
87	1.0460604490590488
88	1.0460604490590488
89	1.0460604490590488
90	1.0460604490590488
91	1.0460604490590488
92	1.0460604490590488
93	1.0460604490590488
94	1.0460604490590488
95	1.0460604490590488
96	1.0460604490590488
97	1.0460604490590488
98	1.0460604490590488
99	1.0460604490590488
